latitude,longitude,income
34.0, -118.4, 68473
34.3, -118.5, 79779
33.9, -118.3, 46254
34.3, -118.4, 54460
34.0, -118.1, 55798
34.7, -118.2, 59078
34.0, -117.8, 84749
34.6, -118.1, 40422
33.9, -118.2, 44959
34.2, -118.0, 113127
34.1, -118.0, 55563
33.7, -118.3, 56927
33.8, -118.2, 47483
34.1, -118.5, 130917
34.6, -118.2, 83724
33.9, -118.0, 76128
34.5, -118.1, 67200
33.3, -118.3, 56259
34.6, -117.8, 42161
34.3, -118.6, 93677
34.2, -118.5, 55275
34.1, -118.4, 89127
34.0, -118.2, 36373
34.7, -118.1, 41210
34.5, -118.6, 118272
34.2, -118.4, 50503
34.0, -118.0, 68098
33.8, -118.1, 79604
34.1, -118.6, 138582
33.8, -118.3, 67440
34.1, -117.7, 68869
34.0, -118.5, 87094
34.2, -118.6, 70831
34.1, -118.8, 106117
33.8, -118.4, 108425
33.7, -118.4, 139062
34.0, -118.8, 124910
34.6, -118.0, 50095
34.2, -118.1, 74073
34.2, -118.2, 99065
33.9, -118.1, 63747
34.0, -117.9, 72531
34.0, -118.3, 33310
34.5, -118.2, 86475
34.2, -118.3, 70499
34.5, -118.0, 81345
34.3, -118.3, 65979
34.1, -118.1, 59634
34.5, -118.5, 109536
34.4, -118.5, 83945
34.1, -118.2, 50946
34.2, -118.8, 134048
34.2, -118.7, 106676
33.9, -118.4, 87923
34.1, -117.8, 70760
34.1, -117.9, 65665
34.1, -118.3, 43938
