latitude,longitude,crime,income
34.0, -118.4, BURGLARY, 68473
34.3, -118.5, BURGLARY, 79779
33.9, -118.3, VEHICLE - STOLEN, 46254
34.3, -118.4, VEHICLE - STOLEN, 54460
34.0, -118.1, ASSAULT WITH DEADLY WEAPON, 55798
34.7, -118.2, VANDALISM - FELONY ($400 & OVER, 59078
34.0, -117.8, THEFT OF IDENTITY, 84749
34.6, -118.1, BURGLARY FROM VEHICLE, 40422
33.9, -118.2, BATTERY - SIMPLE ASSAULT, 44959
34.2, -118.0, CHILD ANNOYING (17YRS & UNDER), 113127
34.1, -118.0, VANDALISM - MISDEAMEANOR ($399 OR UNDER), 55563
33.7, -118.3, BURGLARY, 56927
33.8, -118.2, VEHICLE - STOLEN, 47483
34.1, -118.5, BURGLARY, 130917
34.6, -118.2, BATTERY - SIMPLE ASSAULT, 83724
33.9, -118.0, INTIMATE PARTNER - SIMPLE ASSAULT, 76128
34.5, -118.1, THEFT OF IDENTITY, 67200
33.3, -118.3, ASSAULT WITH DEADLY WEAPON, 56259
34.6, -117.8, INTIMATE PARTNER - SIMPLE ASSAULT, 42161
34.3, -118.6, THEFT OF IDENTITY, 93677
34.2, -118.5, THEFT OF IDENTITY, 55275
34.1, -118.4, BURGLARY FROM VEHICLE, 89127
34.0, -118.2, BATTERY - SIMPLE ASSAULT, 36373
34.7, -118.1, INTIMATE PARTNER - SIMPLE ASSAULT, 41210
34.5, -118.6, CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT, 118272
34.2, -118.4, BURGLARY FROM VEHICLE, 50503
34.0, -118.0, BATTERY - SIMPLE ASSAULT, 68098
33.8, -118.1, BATTERY - SIMPLE ASSAULT, 79604
34.1, -118.6, THEFT OF IDENTITY, 138582
33.8, -118.3, VEHICLE - STOLEN, 67440
34.1, -117.7, BATTERY - SIMPLE ASSAULT, 68869
34.0, -118.5, THEFT PLAIN - PETTY ($950 & UNDER), 87094
34.2, -118.6, BURGLARY, 70831
34.1, -118.8, THEFT OF IDENTITY, 106117
33.8, -118.4, VANDALISM - MISDEAMEANOR ($399 OR UNDER), 108425
33.7, -118.4, THEFT OF IDENTITY, 139062
34.0, -118.8, BURGLARY, 124910
34.6, -118.0, BURGLARY, 50095
34.2, -118.1, BURGLARY FROM VEHICLE, 74073
34.2, -118.2, VANDALISM - FELONY ($400 & OVER, 99065
33.9, -118.1, BATTERY - SIMPLE ASSAULT, 63747
34.0, -117.9, BURGLARY FROM VEHICLE, 72531
34.0, -118.3, BATTERY - SIMPLE ASSAULT, 33310
34.5, -118.2, VANDALISM - MISDEAMEANOR ($399 OR UNDER), 86475
34.2, -118.3, BURGLARY FROM VEHICLE, 70499
34.5, -118.0, BATTERY - SIMPLE ASSAULT, 81345
34.3, -118.3, THEFT OF IDENTITY, 65979
34.1, -118.1, VEHICLE - STOLEN, 59634
34.5, -118.5, BATTERY - SIMPLE ASSAULT, 109536
34.4, -118.5, BATTERY - SIMPLE ASSAULT, 83945
34.1, -118.2, VEHICLE - STOLEN, 50946
34.2, -118.8, RAPE, 134048
34.2, -118.7, BURGLARY, 106676
33.9, -118.4, THEFT-GRAND ($950.01 & OVER)EXCPT, 87923
34.1, -117.8, BATTERY - SIMPLE ASSAULT, 70760
34.1, -117.9, THEFT PLAIN - PETTY ($950 & UNDER), 65665
34.1, -118.3, BATTERY - SIMPLE ASSAULT, 43938
